name,age,salary,city,first,last
john doe,25.0,50000.0,Mumbai,john,doe
john doe,25.0,50000.0,Mumbai,john,doe
alice,30.0,60000.0,Delhi,alice,
rohan,22.0,45000.0,Pune,rohan,
rohan,22.0,45000.0,Pune,rohan,
sara,28.0,70000.0,Bangalore,sara,
sara,28.0,70000.0,Bangalore,sara,
mike,19.0,30000.0,Mumbai,mike,
mike,19.0,30000.0,Mumbai,mike,
anita,35.0,80000.0,Delhi,anita,
anita,35.0,80000.0,Delhi,anita,
raj,40.0,90000.0,Pune,raj,
priya,27.0,55000.0,Mumbai,priya,
priya,27.0,55000.0,Mumbai,priya,
tom,31.0,65000.0,Delhi,tom,
tom,31.0,65000.0,Delhi,tom,
nina,0.0,40000.0,Bangalore,nina,
nina,29.0,40000.0,Bangalore,nina,
vikram,45.0,100000.0,Pune,vikram,
karan,26.0,52000.0,Mumbai,karan,
karan,26.0,52000.0,Mumbai,karan,
neha,24.0,60500.0,Delhi,neha,
neha,24.0,48000.0,Delhi,neha,
aman,23.0,47000.0,Pune,aman,
isha,21.0,51000.0,Mumbai,isha,
isha,21.0,51000.0,Mumbai,isha,
kabir,33.0,75000.0,Delhi,kabir,
kabir,33.0,75000.0,Delhi,kabir,
meera,29.0,62000.0,Bangalore,meera,
meera,29.0,62000.0,Bangalore,meera,
arjun,41.0,88000.0,Pune,arjun,
arjun,41.0,88000.0,Pune,arjun,
,20.0,50000.0,Mumbai,,
riya,18.0,60500.0,Mumbai,riya,
